date,rate
2012-09-14,0.209398
2012-09-15,0.205605
2012-09-18,0.204231
2012-09-19,0.206001
2012-09-20,0.205948
2012-09-21,0.210667
2012-09-22,0.207619
2012-09-25,0.208134
2012-09-26,0.207628
2012-09-27,0.208009
2012-09-28,0.207933
2012-09-29,0.205982
2012-10-02,0.208289
2012-10-03,0.207366
2012-10-04,0.207665
2012-10-05,0.207094
2012-10-06,0.206091
2012-10-09,0.206702
2012-10-10,0.206778
2012-10-11,0.207313
2012-10-12,0.207067
2012-10-13,0.205738
2012-10-16,0.206307
2012-10-17,0.205411
2012-10-18,0.204763
2012-10-19,0.204463
2012-10-20,0.205236
2012-10-23,0.205378
2012-10-24,0.206559
2012-10-25,0.207861
2012-10-26,0.207503
2012-10-27,0.209052
2012-10-30,0.208615
2012-10-31,0.209122
2012-11-01,0.208052
2012-11-02,0.207939
2012-11-03,0.208067
2012-11-07,0.208953
2012-11-08,0.207650
2012-11-09,0.208907
2012-11-10,0.208854
2012-11-13,0.209522
2012-11-14,0.210314
2012-11-15,0.210795
2012-11-16,0.210921
2012-11-17,0.211013
2012-11-20,0.210354
2012-11-21,0.209097
2012-11-22,0.209137
2012-11-23,0.207552
2012-11-24,0.207529
2012-11-27,0.206801
2012-11-28,0.206040
2012-11-29,0.207053
2012-11-30,0.206630
2012-12-01,0.204697
2012-12-04,0.204764
2012-12-05,0.205762
2012-12-06,0.204909
2012-12-07,0.205687
2012-12-08,0.206103
2012-12-11,0.205585
2012-12-12,0.204534
2012-12-13,0.204200
2012-12-14,0.203277
2012-12-15,0.203820
2012-12-18,0.204103
2012-12-19,0.205538
2012-12-20,0.204166
2012-12-21,0.204448
2012-12-22,0.204428
2012-12-25,0.204750
2012-12-26,0.203361
2012-12-27,0.203354
2012-12-28,0.202800
2012-12-29,0.202107
2012-12-30,0.202107
2013-01-10,0.201761
2013-01-11,0.201159
2013-01-12,0.200362
2013-01-15,0.200395
2013-01-16,0.200514
2013-01-17,0.201233
2013-01-18,0.201228
2013-01-19,0.200388
2013-01-22,0.201015
2013-01-23,0.200345
2013-01-24,0.200333
2013-01-25,0.200005
2013-01-26,0.199370
2013-01-29,0.199663
2013-01-30,0.199850
2013-01-31,0.198991
2013-02-01,0.198980
2013-02-02,0.198791
2013-02-05,0.198508
2013-02-06,0.200080
2013-02-07,0.199062
2013-02-08,0.199665
2013-02-09,0.200429
2013-02-12,0.200259
2013-02-13,0.200480
2013-02-14,0.199829
2013-02-15,0.199849
2013-02-16,0.200159
2013-02-19,0.200178
2013-02-20,0.200118
2013-02-21,0.199769
2013-02-22,0.201182
2013-02-23,0.202074
2013-02-26,0.201889
2013-02-27,0.203587
2013-02-28,0.203565
2013-03-01,0.202936
2013-03-02,0.203447
2013-03-05,0.204198
2013-03-06,0.203597
2013-03-07,0.203181
2013-03-08,0.204018
2013-03-12,0.204003
2013-03-13,0.203844
2013-03-14,0.203625
2013-03-15,0.204057
2013-03-16,0.203805
2013-03-19,0.205037
2013-03-20,0.204358
2013-03-21,0.205081
2013-03-22,0.204639
2013-03-23,0.204905
2013-03-26,0.203753
2013-03-27,0.204690
2013-03-28,0.204513
2013-03-29,0.205518
2013-03-30,0.206000
2013-04-02,0.206186
2013-04-03,0.206276
2013-04-04,0.208099
2013-04-05,0.210207
2013-04-06,0.209533
2013-04-09,0.209457
2013-04-10,0.206721
2013-04-11,0.205403
2013-04-12,0.204607
2013-04-13,0.204975
2013-04-16,0.207332
2013-04-17,0.208190
2013-04-18,0.206848
2013-04-19,0.210006
2013-04-20,0.208196
2013-04-23,0.208835
2013-04-24,0.209414
2013-04-25,0.209182
2013-04-26,0.207321
2013-04-27,0.206527
2013-04-30,0.206644
2013-05-01,0.205313
2013-05-07,0.205854
2013-05-08,0.205821
2013-05-09,0.205840
2013-05-14,0.207669
2013-05-15,0.206932
2013-05-16,0.207885
2013-05-17,0.207857
2013-05-18,0.207894
2013-05-21,0.207554
2013-05-22,0.206607
2013-05-23,0.207020
2013-05-24,0.208694
2013-05-25,0.207737
2013-05-28,0.207521
2013-05-29,0.208011
2013-05-30,0.208813
2013-05-31,0.208786
2013-06-01,0.209922
2013-06-04,0.211682
2013-06-05,0.210343
2013-06-06,0.211309
2013-06-07,0.212346
2013-06-08,0.212951
2013-06-11,0.213434
2013-06-12,0.213829
2013-06-14,0.213481
2013-06-15,0.210198
2013-06-18,0.209247
2013-06-19,0.210660
2013-06-20,0.212294
2013-06-21,0.215862
2013-06-22,0.215971
2013-06-25,0.217297
2013-06-26,0.215905
2013-06-27,0.216737
2013-06-28,0.216621
2013-06-29,0.215673
2013-07-02,0.216379
2013-07-03,0.216910
2013-07-04,0.218570
2013-07-05,0.218132
2013-07-06,0.218390
2013-07-09,0.219008
2013-07-10,0.217288
2013-07-11,0.216052
2013-07-12,0.214055
2013-07-13,0.214052
2013-07-16,0.213691
2013-07-17,0.213109
2013-07-18,0.212358
2013-07-19,0.211971
2013-07-20,0.212022
2013-07-23,0.211196
2013-07-24,0.210884
2013-07-25,0.211165
2013-07-26,0.212359
2013-07-27,0.212952
2013-07-30,0.214448
2013-07-31,0.214561
2013-08-01,0.215164
2013-08-02,0.214591
2013-08-03,0.215270
2013-08-06,0.213722
2013-08-07,0.214377
2013-08-08,0.215193
2013-08-09,0.215231
2013-08-10,0.215127
2013-08-13,0.214539
2013-08-14,0.215894
